level_0,index,order,row,col,rep,line,grid,entry,name,breeder,irrigation,Tier,Row,Name/Code,Breeder,Weight per row (lbs),ExG0407,ExG0412,ExG0415,ExG0427,ExG0506,ExG0516,ExG0520,ExG0523,ExG0527,ExG0531,ExG0602,ExG0607,ExG0614,ExG0617,ExG0620,ExG0623,ExG0627,ExG0630,ExG0713,ExG0716,ExG0719,ExG0721,ExG0725,ExG0728,ExG0802,ExG0808,ExG0812,ExG0818,NDVI0412,NDVI0422,NDVI0427,NDVI0506,NDVI0516,NDVI0520,NDVI0531,NDVI0607,NDVI0614,NDVI0620,NDVI0623,NDVI0627,NDVI0716,NDVI0721,NDVI0725,NDVI0802,NDVI0808,NDVI0812,NDVI0818,ch0412,ch0415,ch0427,ch0506,ch0516,ch0520,ch0523,ch0527,ch0531,ch0602,ch0607,ch0614,ch0617,ch0620,ch0623,ch0627,ch0630,ch0708,ch0713,ch0716,ch0719,ch0721,ch0725,ch0728,ch0802,ch0808,ch0812,cv0412,cv0415,cv0427,cv0506,cv0516,cv0520,cv0523,cv0527,cv0531,cv0602,cv0607,cv0614,cv0617,cv0620,cv0623,cv0627,cv0630,cv0708,cv0713,cv0716,cv0719,cv0721,cv0725,cv0728,cv0802,cv0808,cv0812,bollnum,bollsize,bollasize,bollvol,bollavol,fc0623,fc0627,fc0630,a (3PL),b (3PL),c (3PL),max_cc (3PL),max_growth_rate (3PL),day_at_max_growth_rate (3PL),day1_at_half_max (3PL),day2_at_half_max (3PL),a (4PL),b (4PL),c (4PL),d (4PL),max_cc (4PL),max_growth_rate (4PL),day_at_max_growth_rate (4PL),day1_at_half_max (4PL),day2_at_half_max (4PL),alpha (4PR),beta (4PR),k (4PR),m (4PR),max_cc (4PR),max_growth_rate (4PR),day_at_max_growth_rate (4PR),day1_at_half_max (4PR),day2_at_half_max (4PR),a (5PL),b (5PL),c (5PL),d (5PL),g (5PL),max_cc (5PL),max_growth_rate (5PL),day_at_max_growth_rate (5PL),day1_at_half_max (5PL),day2_at_half_max (5PL)
0,0,1,1,3,436,1,1,C,PHY_499,Visual_Check,No,7,5,PHY499,Visual Check,0.018992424765930348,-0.022945,-0.002619,-0.010704,-0.004968,0.010028,0.059121,0.075297,0.145936,0.131086,0.204935,0.315662,0.32003,0.421743,0.478674,0.480279,0.463654,0.467251,0.434442,0.440107,0.444951,0.341438,0.408516,0.344967,0.368665,0.26227,0.16132,-0.016714,-0.025194,0.222421,0.263821,0.181881,0.34479,0.310888,0.335463,0.438784,0.626854,0.587213,0.55239,0.551186,0.513772,0.563506,0.53628,0.479212,0.526722,0.485537,0.38332,0.377561,0.117556,0.040763,0.029998,0.112485,0.231,0.334091,0.42123,0.481593,0.600513,0.683975,0.170488,0.928272,0.965209,1.054211,1.064219,1.096147,1.109745,1.120118,1.090625,1.124272,1.047165,1.087766,1.087802,1.067452,1.144571,0.963581,0.040902,0.086836,0.014115,0.004642,0.03262,0.055434,0.100506,0.157044,0.189964,0.319011,0.388179,0.041508,0.546757,0.690778,0.754751,0.770087,0.798837,0.822407,0.79223,0.758052,0.806802,0.782648,0.781676,0.762441,0.767846,0.77953,0.658992,0.000273,37.6,410.461429,10.021196,1308.297291,30.598179,1,5,8,89.556545,6.609896,56.386074,89.556258,3.377904,56.0,44.694007,68.07426,-0.782144,7.925051,56.376231,91.713284,91.644869,3.294612,55.0,43.242706,67.840073,92.024156,0.048692,0.098887,0.000266,92.007795,3.340312,53.0,42.699277,67.497935,0.45695,14.949911,47.864611,97.687224,0.262216,96.239837,3.841279,51.0,44.295018,63.699886
1,1,2,1,3,436,2,1,C,PHY_499,Visual_Check,No,7,6,PHY499,Visual Check,0.03275942049573171,-0.020733,-0.002822,-0.00932,0.001849,0.033038,0.122225,0.150949,0.230726,0.198284,0.269117,0.411325,0.42734,0.471264,0.533321,0.52411,0.517973,0.51264,0.447516,0.4555,0.437235,0.334659,0.386297,0.308485,0.320684,0.209128,0.103693,-0.037542,-0.045532,0.223402,0.258139,0.199924,0.419931,0.371014,0.402327,0.452043,0.605787,0.54213,0.524247,0.512015,0.47885,0.558265,0.537461,0.476197,0.51986,0.466255,0.35142,0.356061,0.118253,0.031832,0.041368,0.234447,0.405406,0.503273,0.613796,0.680308,0.790371,0.870143,0.355448,1.098934,1.137442,1.204693,1.20498,1.233574,1.233821,1.245794,1.28473,1.23251,1.155877,1.208155,1.205343,1.138991,1.262682,0.766864,0.071599,0.086946,0.010473,0.006996,0.055516,0.12606,0.193727,0.2727,0.340373,0.508602,0.573767,0.158432,0.754049,0.842671,0.896549,0.90379,0.939294,0.93504,0.909971,0.896925,0.922453,0.88421,0.887533,0.813034,0.848558,0.863926,0.453111,0.000853,62.5,754.042846,12.060362,2445.618688,39.062618,1,21,14,96.012599,6.150268,50.19369,96.012555,3.893246,50.0,39.315444,61.067859,0.228845,8.049016,50.087795,97.147964,97.123233,3.940515,49.0,38.590654,60.147901,96.813626,110.209299,0.125205,0.278131,96.81269,3.915588,48.0,38.073259,60.274566,0.071781,7.499923,52.266086,96.705708,1.26867,96.697518,3.882943,49.0,38.496339,60.634474
2,2,3,1,4,437,1,1,3,13Q-18,Smith,No,7,7,13Q-18,Smith,0.029443282838188322,-0.020753,0.001194,-0.00865,0.006427,0.039762,0.137166,0.171302,0.250423,0.220199,0.274008,0.439622,0.435619,0.482251,0.535529,0.508859,0.536414,0.493113,0.478961,0.468476,0.461096,0.383714,0.423645,0.372328,0.384827,0.272552,0.138163,-0.040143,-0.035599,0.233028,0.298802,0.233657,0.448473,0.404473,0.425222,0.464601,0.592498,0.52532,0.52452,0.499563,0.464938,0.525222,0.516481,0.481672,0.502053,0.456982,0.386173,0.386715,0.119494,0.040166,0.033944,0.209571,0.392771,0.502291,0.612927,0.702499,0.811496,0.862581,0.384351,1.151518,1.191215,1.289439,1.319198,1.361148,1.345325,1.333706,1.350187,1.352628,1.253902,1.332819,1.320125,1.283309,1.379527,0.509776,0.019033,0.087261,0.011234,0.005955,0.051968,0.144639,0.231443,0.323621,0.410028,0.560341,0.637622,0.202799,0.818794,0.900211,0.965068,0.982339,1.025155,1.023988,1.015019,0.981612,1.021511,0.983865,0.985489,0.966489,0.949923,0.983534,0.304219,0.000366,47.2,583.605221,12.451134,1926.019543,41.129295,0,4,4,98.105779,6.212042,48.909836,98.105737,3.939499,49.0,37.928678,59.891567,0.705208,7.934216,48.858203,99.13041,99.107207,4.047673,47.0,37.480731,58.793007,99.1491,0.237909,0.114113,0.001351,99.147088,4.147466,45.0,36.65002,58.166883,0.917332,8.724762,46.874962,99.633904,0.779219,99.575853,4.159741,47.0,37.694238,58.121859
3,3,4,1,4,437,2,1,3,13Q-18,Smith,No,7,8,13Q-18,Smith,0.0285388816588583,-0.019854,-0.004292,-0.012498,-0.007217,0.03111,0.130294,0.16732,0.24151,0.221608,0.283421,0.455265,0.426691,0.493546,0.540425,0.498836,0.488877,0.473826,0.481218,0.44096,0.448688,0.354455,0.396029,0.309137,0.337108,0.219559,0.091573,-0.036638,-0.039167,0.236808,0.248309,0.203661,0.420739,0.381374,0.396187,0.460474,0.55815,0.510502,0.535081,0.481921,0.459197,0.515485,0.514464,0.483021,0.481108,0.415287,0.349243,0.347089,0.117628,0.036958,0.029158,0.214424,0.399932,0.501714,0.617603,0.708619,0.822769,0.88456,0.417365,1.168125,1.251564,1.318093,1.334119,1.386485,1.37249,1.408846,1.337289,1.373914,1.262875,1.353894,1.342054,1.263788,1.268827,0.315076,0.033838,0.081865,0.006821,0.003137,0.045466,0.132891,0.222762,0.306709,0.399493,0.540684,0.612405,0.205451,0.829643,0.892636,0.969868,0.952701,1.000509,1.015763,0.949395,0.905431,0.975297,0.926428,0.915902,0.87895,0.903308,0.857114,0.137717,0.000219,51.9,729.711883,14.080401,2532.673144,48.858875,2,12,10,97.481534,5.646592,48.64195,97.481525,4.30041,49.0,38.641825,58.641735,0.123227,8.599189,48.488138,98.30145,98.290683,4.39891,47.0,38.090381,57.67295,97.977701,301.270092,0.143138,0.373882,97.977544,4.352185,47.0,37.721674,57.902262,-0.215772,7.451066,52.851989,97.711932,1.632365,97.711233,4.243767,48.0,37.84702,58.630188
4,4,5,1,5,438,1,1,29,DPL_1044,Commercial,No,7,9,DPL 1044,Commercial,0.031553552256625025,-0.020484,-0.008598,-0.010063,-0.006818,0.01745,0.120415,0.149794,0.218903,0.200644,0.269252,0.445826,0.431228,0.490512,0.52065,0.502687,0.45997,0.501184,0.495619,0.439559,0.440449,0.334684,0.387422,0.29716,0.310345,0.183183,0.052372,-0.03866,-0.040732,0.237517,0.250793,0.197116,0.411579,0.381044,0.399198,0.474941,0.621919,0.542577,0.552031,0.511064,0.47838,0.524761,0.529733,0.487588,0.514259,0.450522,0.369502,0.359814,0.11571,0.038004,0.027003,0.171273,0.331701,0.432336,0.524227,0.617355,0.745845,0.807628,0.340217,1.086428,1.112217,1.180507,1.176793,1.206427,1.205213,1.174947,1.269726,1.203214,1.10632,1.167667,1.150252,1.11557,1.122424,0.158337,0.0148,0.086505,0.009493,0.003676,0.039014,0.10648,0.190679,0.251911,0.327043,0.464814,0.571518,0.150865,0.764974,0.830674,0.87752,0.871946,0.901954,0.920921,0.884144,0.865532,0.901422,0.861949,0.853623,0.822849,0.85888,0.8016,0.032411,0.000296,60.2,772.11593,12.890577,2559.979284,42.827669,0,8,6,95.147359,6.456058,50.240558,95.147272,3.675804,50.0,38.825526,61.657483,-0.742925,7.386036,50.002629,96.745157,96.696608,3.65901,48.0,37.486357,60.812964,96.681237,0.071042,0.104414,0.000561,96.675745,3.702775,46.0,36.917246,60.418335,-0.470445,8.41709,46.907435,97.842033,0.691912,97.673418,3.771427,47.0,37.704964,59.866621
5,5,6,1,5,438,2,1,29,DPL_1044,Commercial,No,7,10,DPL 1044,Commercial,0.036176047173200665,-0.018873,-0.006034,-0.007579,-0.003126,0.036177,0.123871,0.153154,0.218697,0.184659,0.259926,0.417698,0.407653,0.478987,0.515946,0.516134,0.458509,0.478815,0.489484,0.435571,0.440359,0.335573,0.391378,0.295179,0.303377,0.177207,0.058086,-0.030487,-0.036009,0.209963,0.234478,0.197327,0.403519,0.366824,0.400853,0.462584,0.605534,0.546229,0.551674,0.500399,0.472564,0.521436,0.528403,0.489365,0.515034,0.437997,0.343175,0.330489,0.116218,0.02321,0.024543,0.182133,0.349097,0.462382,0.54663,0.617553,0.724035,0.781399,0.332668,1.038354,1.08036,1.138179,1.148419,1.175896,1.168853,1.164205,1.190395,1.167038,1.078271,1.133919,1.129484,1.09272,1.0693,0.111029,0.034779,0.084617,0.00467,0.002007,0.037575,0.111573,0.192876,0.248296,0.311071,0.424678,0.540764,0.143466,0.754613,0.797561,0.852021,0.841784,0.874485,0.9,0.848406,0.83198,0.867568,0.821846,0.809274,0.765732,0.785092,0.708528,0.009979,0.000252,54.1,629.440252,11.644755,2042.428869,37.705069,1,19,16,95.943005,7.101688,50.749054,95.94267,3.370855,51.0,38.198778,63.300899,-0.090688,6.913595,50.63511,97.752994,97.666581,3.401719,49.0,37.079768,62.226261,97.178644,32.77623,0.104867,0.219808,97.172548,3.377171,48.0,36.587758,62.449157,-0.221785,6.58667,52.318432,97.329916,1.175236,97.282116,3.364618,49.0,36.971173,62.604975
6,6,7,1,6,439,1,1,C,PHY_499,Visual_Check,No,7,11,PHY499,Visual Check,0.02863937067878386,-0.019592,-0.009386,-0.008183,-0.003635,0.010151,0.086288,0.10176,0.171512,0.132885,0.212249,0.356886,0.348533,0.432672,0.462884,0.47453,0.445531,0.431281,0.431885,0.414697,0.401319,0.302776,0.37129,0.293632,0.299248,0.1889,0.088316,-0.025005,-0.038206,0.232318,0.238929,0.198903,0.346753,0.337511,0.359929,0.440798,0.614082,0.583287,0.591927,0.533712,0.502439,0.536368,0.539127,0.502429,0.538856,0.478537,0.339984,0.318967,0.114862,0.012258,0.024191,0.156257,0.304823,0.403882,0.480737,0.552438,0.657742,0.716371,0.281256,1.032728,1.094486,1.165837,1.148127,1.196762,1.190924,1.167869,1.225517,1.157088,1.073111,1.146906,1.153613,1.007154,1.123981,0.635201,0.099898,0.082072,0.001087,0.001437,0.024904,0.075378,0.14023,0.177321,0.220018,0.327867,0.423605,0.091537,0.632757,0.700718,0.797856,0.783547,0.822231,0.851876,0.766721,0.755508,0.797184,0.77884,0.776835,0.719038,0.705487,0.694761,0.110711,0.001022,50.5,718.621612,14.333265,2491.515417,49.834444,5,17,15,92.248762,6.778564,55.390912,92.248412,3.39326,55.0,43.401841,67.380047,-0.006052,7.82635,55.406931,94.113169,94.046677,3.370128,54.0,42.332415,66.798759,93.765987,98.21694,0.110129,0.289364,93.759578,3.322277,53.0,41.803672,67.139875,0.32575,8.929192,52.13024,95.434061,0.685423,95.208977,3.472098,53.0,42.562472,65.869272
7,7,8,1,6,439,2,1,C,PHY_499,Visual_Check,No,7,12,PHY499,Visual Check,0.02120318320429261,-0.020264,-0.010738,-0.0147,-0.003243,0.010562,0.055266,0.070365,0.138751,0.112904,0.187217,0.351168,0.324456,0.431094,0.471065,0.483397,0.449981,0.424575,0.427871,0.415113,0.399966,0.296993,0.366583,0.290579,0.307545,0.206312,0.116876,-0.021971,-0.033499,0.22796,0.222907,0.178938,0.387167,0.30695,0.333261,0.422443,0.60079,0.569909,0.598488,0.537378,0.498837,0.529377,0.539508,0.503471,0.525389,0.476207,0.350302,0.328062,0.108662,0.012,0.01401,0.103559,0.232154,0.320832,0.399174,0.464331,0.579593,0.653581,0.207666,0.963549,1.013067,1.091878,1.090482,1.128946,1.129806,1.106223,1.135665,1.108454,1.028442,1.08975,1.091024,1.037553,1.140844,0.562008,0.131937,0.079359,0.000967,0.000666,0.018097,0.048166,0.096844,0.142423,0.174872,0.28496,0.364635,0.054359,0.585881,0.668803,0.753842,0.748848,0.781079,0.812146,0.745689,0.726478,0.781473,0.751253,0.751294,0.684133,0.725239,0.679342,0.204141,0.000738,45.0,617.818386,13.492888,2144.88302,46.401267,1,6,8,91.238556,6.104985,57.48888,91.238433,3.72197,57.0,46.678145,68.299383,-0.130975,9.133242,57.373081,92.55757,92.530748,3.725201,56.0,45.811806,67.656108,92.512185,206.285154,0.122141,0.249689,92.509321,3.695786,55.0,45.231481,67.720855,0.243787,10.747177,53.953188,93.791338,0.644641,93.664855,3.865523,55.0,45.989673,66.563543
8,8,9,1,7,440,1,1,4,13Q-51,Smith,No,7,13,13Q-51,Smith,0.03677898129275401,-0.019968,-0.006378,-0.007715,0.001824,0.033022,0.112698,0.13441,0.203341,0.162108,0.247776,0.417392,0.392959,0.442849,0.506991,0.504468,0.489051,0.478176,0.447847,0.43484,0.41125,0.26129,0.339225,0.23189,0.240175,0.137758,0.062236,-0.049562,-0.049734,0.235099,0.243189,0.195783,0.403778,0.37913,0.399363,0.466927,0.614959,0.572953,0.572847,0.517821,0.484622,0.509037,0.524921,0.492819,0.498098,0.452558,0.372456,0.361508,0.122359,0.014919,0.026201,0.187948,0.354525,0.459304,0.558981,0.647303,0.748093,0.820241,0.367974,1.073369,1.128811,1.181822,1.179721,1.215487,1.20404,1.190817,1.180052,1.162112,1.093884,1.155544,1.156227,0.984796,1.298389,0.277514,0.13811,0.084302,0.000627,0.001723,0.033857,0.106794,0.180265,0.237861,0.285082,0.440622,0.516748,0.159699,0.693906,0.807003,0.862273,0.853435,0.894112,0.90174,0.840842,0.776233,0.864567,0.805781,0.820992,0.677661,0.684353,0.499489,0.02642,0.001648,56.9,690.932138,11.990368,2291.618249,39.569613,2,4,3,95.31784,7.388587,52.183167,95.317183,3.219765,52.0,39.130858,65.237355,0.436094,6.857075,52.222703,97.328679,97.216705,3.244232,50.0,38.134519,64.246651,96.560772,57.517753,0.104285,0.326218,96.553002,3.189145,50.0,37.58092,64.741109,0.340732,6.614759,53.539412,96.95349,1.131618,96.88115,3.2166,50.0,38.054028,64.539571
9,9,10,1,7,440,2,1,4,13Q-51,Smith,No,7,14,13Q-51,Smith,0.02753399145960273,-0.0219,-0.005724,-0.009273,0.000997,0.034096,0.10248,0.139144,0.211216,0.169997,0.255555,0.420152,0.412219,0.439703,0.505051,0.492988,0.481391,0.487045,0.461433,0.428512,0.423898,0.277328,0.362223,0.26311,0.262091,0.172617,0.050989,-0.041225,-0.052953,0.222804,0.244492,0.184203,0.421362,0.369205,0.418172,0.474211,0.626761,0.579371,0.587673,0.535455,0.508849,0.519201,0.537887,0.508557,0.53708,0.507956,0.39484,0.396397,0.106547,0.015384,0.024244,0.182261,0.328678,0.43781,0.537724,0.620294,0.699158,0.775253,0.327215,1.015546,1.096261,1.13903,1.142252,1.166366,1.161162,1.120948,1.189202,1.155624,1.040807,1.112046,1.118904,0.997593,1.378468,0.730686,0.040147,0.077774,0.000664,0.00177,0.030689,0.092207,0.170603,0.227324,0.282443,0.435726,0.54519,0.137951,0.712378,0.781946,0.8261,0.817817,0.847954,0.860487,0.821113,0.809908,0.844019,0.78404,0.792944,0.664173,0.740098,0.686222,0.224147,0.000283,58.7,674.767846,11.468578,2136.894604,36.32547,0,2,5,93.110438,6.296309,50.993444,93.110371,3.689272,51.0,39.863102,62.123501,-0.111394,7.715708,50.910176,94.646284,94.60767,3.642796,49.0,38.720544,61.511752,94.723124,4.399288,0.106687,0.028019,94.718275,3.656222,47.0,37.920747,61.237038,0.23479,9.17393,47.099057,96.160397,0.617795,95.960648,3.782702,48.0,38.97313,60.339562
