ExG0407,ExG0412,ExG0415,ExG0427,ExG0506,ExG0516,ExG0520,ExG0523,ExG0527,ExG0531,ExG0602,ExG0614,ExG0617,ExG0620,ExG0623,ExG0627,ExG0630,ExG0713,ExG0716,ExG0719,ExG0721,ExG0725,ExG0728,ExG0802,ExG0808,ExG0812,ExG0818
-0.022945,-0.002619,-0.010704,-0.004968,0.010028,0.059121,0.075297,0.145936,0.131086,0.204935,0.315662,0.421743,0.478674,0.480279,0.463654,0.467251,0.434442,0.440107,0.444951,0.341438,0.408516,0.344967,0.368665,0.26227,0.16132,-0.016714,-0.025194
-0.020733,-0.002822,-0.00932,0.001849,0.033038,0.122225,0.150949,0.230726,0.198284,0.269117,0.411325,0.471264,0.533321,0.52411,0.517973,0.51264,0.447516,0.4555,0.437235,0.334659,0.386297,0.308485,0.320684,0.209128,0.103693,-0.037542,-0.045532
-0.020753,0.001194,-0.00865,0.006427,0.039762,0.137166,0.171302,0.250423,0.220199,0.274008,0.439622,0.482251,0.535529,0.508859,0.536414,0.493113,0.478961,0.468476,0.461096,0.383714,0.423645,0.372328,0.384827,0.272552,0.138163,-0.040143,-0.035599
-0.019854,-0.004292,-0.012498,-0.007217,0.03111,0.130294,0.16732,0.24151,0.221608,0.283421,0.455265,0.493546,0.540425,0.498836,0.488877,0.473826,0.481218,0.44096,0.448688,0.354455,0.396029,0.309137,0.337108,0.219559,0.091573,-0.036638,-0.039167
-0.020484,-0.008598,-0.010063,-0.006818,0.01745,0.120415,0.149794,0.218903,0.200644,0.269252,0.445826,0.490512,0.52065,0.502687,0.45997,0.501184,0.495619,0.439559,0.440449,0.334684,0.387422,0.29716,0.310345,0.183183,0.052372,-0.03866,-0.040732
-0.018873,-0.006034,-0.007579,-0.003126,0.036177,0.123871,0.153154,0.218697,0.184659,0.259926,0.417698,0.478987,0.515946,0.516134,0.458509,0.478815,0.489484,0.435571,0.440359,0.335573,0.391378,0.295179,0.303377,0.177207,0.058086,-0.030487,-0.036009
-0.019592,-0.009386,-0.008183,-0.003635,0.010151,0.086288,0.10176,0.171512,0.132885,0.212249,0.356886,0.432672,0.462884,0.47453,0.445531,0.431281,0.431885,0.414697,0.401319,0.302776,0.37129,0.293632,0.299248,0.1889,0.088316,-0.025005,-0.038206
-0.020264,-0.010738,-0.0147,-0.003243,0.010562,0.055266,0.070365,0.138751,0.112904,0.187217,0.351168,0.431094,0.471065,0.483397,0.449981,0.424575,0.427871,0.415113,0.399966,0.296993,0.366583,0.290579,0.307545,0.206312,0.116876,-0.021971,-0.033499
-0.019968,-0.006378,-0.007715,0.001824,0.033022,0.112698,0.13441,0.203341,0.162108,0.247776,0.417392,0.442849,0.506991,0.504468,0.489051,0.478176,0.447847,0.43484,0.41125,0.26129,0.339225,0.23189,0.240175,0.137758,0.062236,-0.049562,-0.049734
-0.0219,-0.005724,-0.009273,0.000997,0.034096,0.10248,0.139144,0.211216,0.169997,0.255555,0.420152,0.439703,0.505051,0.492988,0.481391,0.487045,0.461433,0.428512,0.423898,0.277328,0.362223,0.26311,0.262091,0.172617,0.050989,-0.041225,-0.052953
-0.020506,-0.004695,-0.007496,0.002123,0.040786,0.104529,0.130507,0.210702,0.162922,0.248356,0.441888,0.456399,0.52839,0.501589,0.509203,0.513075,0.46626,0.480314,0.463416,0.409235,0.450951,0.431437,0.404467,0.320821,0.185184,-0.016991,-0.052014
-0.021103,-0.007874,-0.010726,-0.00301,0.025301,0.073694,0.095298,0.165163,0.137366,0.236105,0.4443,0.46428,0.514224,0.504356,0.476001,0.490809,0.46573,0.458087,0.454527,0.401949,0.438203,0.405295,0.389163,0.286322,0.180857,-0.013355,-0.053911
-0.022299,-0.007767,-0.007986,-0.0041,0.029022,0.114036,0.142893,0.223598,0.177526,0.25859,0.42462,0.44928,0.489392,0.499308,0.461108,0.472487,0.435406,0.427763,0.40174,0.30135,0.362496,0.313199,0.297366,0.197157,0.107875,-0.010636,-0.050336
-0.020582,-0.006824,-0.009874,-0.004984,0.034684,0.089291,0.108431,0.182925,0.129494,0.21349,0.367721,0.365366,0.439963,0.463942,0.436499,0.431577,0.412205,0.401696,0.396436,0.280548,0.362451,0.296591,0.29159,0.189779,0.109419,-0.017441,-0.041433
-0.017935,-0.005839,-0.007827,-0.004504,0.01603,0.091029,0.107611,0.186503,0.136847,0.23529,0.412171,0.390807,0.456254,0.449384,0.445071,0.45172,0.423598,0.406904,0.40386,0.299735,0.381819,0.314008,0.315822,0.218678,0.127479,-0.026163,-0.041284
-0.016288,-0.007296,-0.009656,-0.006677,0.010176,0.046885,0.06965,0.12859,0.106017,0.212148,0.386268,0.321368,0.402018,0.39394,0.372027,0.384959,0.384197,0.383387,0.365733,0.29001,0.370447,0.317255,0.32572,0.243539,0.136272,-0.007233,-0.028242
-0.015868,-0.002626,-0.008069,-0.000353,0.047484,0.144504,0.181907,0.268772,0.187258,0.280637,0.430657,0.457533,0.513216,0.489751,0.474624,0.491474,0.43787,0.462667,0.45123,0.391125,0.454423,0.421843,0.413774,0.307523,0.201821,-0.004023,-0.034529
-0.017071,-0.0013,-0.006194,0.011838,0.050707,0.140052,0.169532,0.261775,0.188681,0.276944,0.480276,0.472806,0.53462,0.519845,0.483794,0.49306,0.478899,0.463774,0.458335,0.39132,0.459525,0.429901,0.402088,0.303666,0.207273,-0.019431,-0.030319
-0.016161,-0.005417,-0.008795,0.004815,0.042759,0.097631,0.15293,0.255025,0.120971,0.21664,0.393832,0.385009,0.425372,0.423733,0.386293,0.406981,0.424779,0.405334,0.416033,0.333956,0.400151,0.356393,0.350602,0.235449,0.157078,-0.010394,-0.027097
-0.015906,-0.00704,-0.008025,0.00169,0.04255,0.140644,0.180926,0.273707,0.198155,0.298092,0.532832,0.497661,0.520527,0.482276,0.475902,0.473225,0.434677,0.442747,0.407062,0.311978,0.367887,0.306837,0.308521,0.172218,0.09537,-0.025733,-0.045605
-0.014602,-0.007307,-0.010447,-0.001004,0.034184,0.113734,0.142692,0.226004,0.179507,0.272695,0.521967,0.483848,0.49462,0.485768,0.487067,0.487116,0.44386,0.479904,0.466035,0.399592,0.444828,0.416713,0.393523,0.258904,0.159135,-0.007688,-0.040269
-0.013511,-0.00555,-0.011269,-0.005664,0.024217,0.08318,0.113356,0.184259,0.145923,0.241929,0.454826,0.398219,0.45612,0.474526,0.486753,0.437132,0.431599,0.446877,0.414176,0.345032,0.396512,0.348198,0.338006,0.213377,0.114323,-0.021725,-0.026185
-0.01494,-0.003872,-0.015419,-0.005799,-0.00207,0.034238,0.065098,0.139309,0.108855,0.215431,0.404003,0.22526,0.285777,0.343263,0.344772,0.302573,0.366538,0.338247,0.309872,0.216188,0.303787,0.263643,0.273453,0.184922,0.106804,-0.025834,-0.017916
-0.014498,-0.005468,-0.018229,-0.008276,-0.001817,0.042043,0.075593,0.15885,0.133655,0.255829,0.475,0.157115,0.229948,0.26584,0.285837,0.260618,0.263255,0.294583,0.268608,0.167731,0.26837,0.228826,0.242225,0.14857,0.076464,-0.03718,-0.025117
