NDVI0412,NDVI0422,NDVI0427,NDVI0506,NDVI0516,NDVI0520,NDVI0531,NDVI0614,NDVI0620,NDVI0623,NDVI0627,NDVI0716,NDVI0721,NDVI0725,NDVI0802,NDVI0808,NDVI0812,NDVI0818
0.222421,0.263821,0.181881,0.34479,0.310888,0.335463,0.438784,0.587213,0.55239,0.551186,0.513772,0.563506,0.53628,0.479212,0.526722,0.485537,0.38332,0.377561
0.223402,0.258139,0.199924,0.419931,0.371014,0.402327,0.452043,0.54213,0.524247,0.512015,0.47885,0.558265,0.537461,0.476197,0.51986,0.466255,0.35142,0.356061
0.233028,0.298802,0.233657,0.448473,0.404473,0.425222,0.464601,0.52532,0.52452,0.499563,0.464938,0.525222,0.516481,0.481672,0.502053,0.456982,0.386173,0.386715
0.236808,0.248309,0.203661,0.420739,0.381374,0.396187,0.460474,0.510502,0.535081,0.481921,0.459197,0.515485,0.514464,0.483021,0.481108,0.415287,0.349243,0.347089
0.237517,0.250793,0.197116,0.411579,0.381044,0.399198,0.474941,0.542577,0.552031,0.511064,0.47838,0.524761,0.529733,0.487588,0.514259,0.450522,0.369502,0.359814
0.209963,0.234478,0.197327,0.403519,0.366824,0.400853,0.462584,0.546229,0.551674,0.500399,0.472564,0.521436,0.528403,0.489365,0.515034,0.437997,0.343175,0.330489
0.232318,0.238929,0.198903,0.346753,0.337511,0.359929,0.440798,0.583287,0.591927,0.533712,0.502439,0.536368,0.539127,0.502429,0.538856,0.478537,0.339984,0.318967
0.22796,0.222907,0.178938,0.387167,0.30695,0.333261,0.422443,0.569909,0.598488,0.537378,0.498837,0.529377,0.539508,0.503471,0.525389,0.476207,0.350302,0.328062
0.235099,0.243189,0.195783,0.403778,0.37913,0.399363,0.466927,0.572953,0.572847,0.517821,0.484622,0.509037,0.524921,0.492819,0.498098,0.452558,0.372456,0.361508
0.222804,0.244492,0.184203,0.421362,0.369205,0.418172,0.474211,0.579371,0.587673,0.535455,0.508849,0.519201,0.537887,0.508557,0.53708,0.507956,0.39484,0.396397
0.23849,0.25917,0.209909,0.447215,0.380493,0.410116,0.474989,0.580617,0.561586,0.509939,0.486159,0.486952,0.50469,0.521979,0.515628,0.493769,0.392865,0.397639
0.241768,0.230137,0.186789,0.401026,0.338445,0.383916,0.466474,0.56204,0.588807,0.504672,0.492497,0.495174,0.516646,0.530117,0.513489,0.496162,0.395047,0.390343
0.249773,0.260232,0.198627,0.386344,0.380999,0.40112,0.477783,0.592774,0.587578,0.524876,0.502222,0.495663,0.521276,0.521987,0.482252,0.452652,0.367877,0.341982
0.250597,0.242546,0.193774,0.364992,0.362769,0.381329,0.468841,0.617984,0.614547,0.542017,0.51646,0.53254,0.532731,0.530422,0.498158,0.480416,0.375229,0.347299
0.260594,0.24019,0.195664,0.347963,0.362032,0.384837,0.489844,0.623929,0.606872,0.520467,0.513019,0.520046,0.535317,0.519981,0.494736,0.48889,0.369053,0.353897
0.272429,0.223129,0.189455,0.335317,0.315594,0.343253,0.46812,0.64139,0.651267,0.587562,0.544651,0.593839,0.572987,0.532074,0.529748,0.548605,0.391986,0.382851
0.26118,0.253686,0.2104,0.404239,0.420095,0.440641,0.510026,0.597203,0.586674,0.51689,0.495922,0.507414,0.525604,0.516249,0.503451,0.511763,0.403767,0.386418
0.256294,0.270166,0.248907,0.433209,0.428453,0.439925,0.483846,0.589713,0.581403,0.504419,0.507659,0.503487,0.51746,0.504257,0.491612,0.507834,0.39056,0.387257
0.246813,0.260103,0.232108,0.360146,0.382768,0.435483,0.501303,0.640621,0.662702,0.592438,0.575229,0.575927,0.568488,0.541353,0.554018,0.57287,0.455535,0.406228
0.252659,0.245791,0.224578,0.409593,0.437498,0.436656,0.523836,0.591927,0.582924,0.530126,0.502643,0.52877,0.523566,0.504276,0.485694,0.491889,0.388949,0.349489
0.260978,0.223899,0.217301,0.366118,0.426915,0.42717,0.533902,0.576469,0.600848,0.512441,0.516367,0.515385,0.513212,0.519416,0.509189,0.510263,0.385653,0.369862
0.253034,0.224876,0.213288,0.361434,0.387734,0.400398,0.481105,0.592685,0.599209,0.514083,0.510857,0.512548,0.520235,0.506413,0.48315,0.471455,0.320029,0.314507
0.253076,0.207499,0.201621,0.308671,0.330639,0.362683,0.462377,0.596035,0.634317,0.574376,0.562685,0.558444,0.52461,0.480565,0.510754,0.508772,0.326487,0.308776
0.265843,0.214224,0.198095,0.321986,0.309832,0.363631,0.476359,0.591442,0.672523,0.618922,0.55989,0.596477,0.531994,0.471885,0.523462,0.530098,0.363912,0.32263
0.259916,0.241305,0.209593,0.377577,0.425202,0.441752,0.514483,0.628469,0.603053,0.556428,0.525,0.564968,0.538738,0.490664,0.504882,0.517289,0.390176,0.343074
0.253921,0.228616,0.22795,0.374182,0.418296,0.456487,0.516338,0.646608,0.618831,0.555541,0.548939,0.55228,0.534449,0.516309,0.491683,0.494502,0.362612,0.324934
0.250386,0.249449,0.220214,0.355611,0.426435,0.455234,0.51144,0.614307,0.58046,0.526466,0.528168,0.543849,0.539767,0.530355,0.537039,0.548807,0.409834,0.390782
0.249667,0.238464,0.210685,0.362011,0.432208,0.459071,0.535301,0.592293,0.574422,0.514002,0.510699,0.527837,0.534585,0.529951,0.515162,0.547341,0.439074,0.405368
0.247405,0.249519,0.21001,0.398753,0.466319,0.464504,0.554649,0.594778,0.589597,0.512008,0.519019,0.534147,0.533847,0.521088,0.463419,0.50148,0.379845,0.342279
0.240647,0.241213,0.227168,0.381673,0.443679,0.438376,0.516833,0.603313,0.589874,0.522197,0.516957,0.533759,0.545531,0.520727,0.445684,0.481455,0.361081,0.322625
0.235834,0.255873,0.207825,0.337005,0.421018,0.419479,0.514959,0.622345,0.606839,0.550115,0.530853,0.544682,0.553742,0.523829,0.444962,0.490621,0.359731,0.340164
0.248162,0.226195,0.200757,0.358157,0.397561,0.405391,0.486986,0.607022,0.583199,0.548706,0.53075,0.544306,0.550295,0.504221,0.423951,0.478424,0.313499,0.312628
0.240219,0.209525,0.207567,0.312306,0.383448,0.401118,0.527504,0.664114,0.627102,0.586604,0.549779,0.563837,0.551588,0.535843,0.468279,0.527487,0.380802,0.354508
0.232679,0.295833,0.35656,0.408453,0.442777,0.471398,0.531232,0.595985,0.592404,0.572662,0.524068,0.604683,0.571667,0.500121,0.440932,0.501569,0.341279,0.295131
0.228761,0.27905,0.251154,0.394043,0.458033,0.476483,0.556179,0.645066,0.60014,0.620575,0.538205,0.595304,0.572606,0.512322,0.449353,0.526697,0.387292,0.33219
0.235357,0.258326,0.195178,0.362924,0.485185,0.488035,0.562084,0.623561,0.571438,0.53083,0.518849,0.548755,0.538605,0.520482,0.448483,0.4775,0.361338,0.343229
0.234056,0.250461,0.189981,0.356621,0.445491,0.449446,0.560797,0.639021,0.568723,0.549546,0.533382,0.571352,0.561537,0.525325,0.461598,0.485203,0.372301,0.362851
0.228123,0.225741,0.186465,0.338906,0.476713,0.44544,0.55601,0.606181,0.535491,0.506946,0.503376,0.534358,0.528429,0.511991,0.439433,0.460728,0.355717,0.356228
0.229981,0.231602,0.202228,0.348765,0.391059,0.439044,0.533528,0.607721,0.563566,0.557681,0.511646,0.585771,0.565182,0.485711,0.442278,0.501136,0.35541,0.335554
0.222626,0.22501,0.196297,0.375802,0.444378,0.458277,0.554045,0.616266,0.551071,0.524858,0.507332,0.547561,0.541041,0.497204,0.45144,0.485398,0.365555,0.376971
0.234261,0.220221,0.214726,0.423018,0.444808,0.458207,0.569083,0.622088,0.546306,0.517355,0.516958,0.546545,0.536531,0.501555,0.455626,0.466202,0.371131,0.377752
0.228057,0.226099,0.220697,0.345236,0.418296,0.444358,0.575116,0.624179,0.545189,0.521766,0.517656,0.533591,0.528314,0.497607,0.443499,0.451013,0.367153,0.378864
0.222007,0.238711,0.21497,0.344278,0.404746,0.425793,0.560999,0.627307,0.549578,0.51759,0.526464,0.530927,0.519688,0.491873,0.429259,0.420031,0.347945,0.341139
0.22852,0.258489,0.230281,0.353793,0.394437,0.412039,0.545718,0.620029,0.573249,0.527735,0.529347,0.549902,0.520216,0.500324,0.446606,0.440726,0.341191,0.349101
0.223784,0.239082,0.221884,0.322892,0.361646,0.380379,0.538489,0.622739,0.579622,0.55909,0.522678,0.556927,0.53768,0.498587,0.451014,0.457335,0.353242,0.354685
0.22554,0.244782,0.233562,0.326557,0.42055,0.415102,0.530246,0.607174,0.53047,0.506429,0.507227,0.529242,0.513343,0.497446,0.423999,0.423054,0.321025,0.33332
0.235998,0.216043,0.222563,0.335393,0.359653,0.380966,0.518335,0.59226,0.584067,0.624067,0.484317,0.603573,0.542495,0.477482,0.427698,0.47269,0.339673,0.342911
0.240556,0.250612,0.233246,0.366561,0.452086,0.447759,0.554641,0.600151,0.524251,0.510132,0.503782,0.535793,0.527227,0.503607,0.434503,0.430977,0.343067,0.339802
0.244275,0.221886,0.229603,0.365767,0.452163,0.444901,0.574643,0.600935,0.524482,0.50855,0.510663,0.53724,0.53331,0.506492,0.437362,0.446091,0.342893,0.352422
0.242617,0.251243,0.243985,0.315661,0.447849,0.449021,0.581551,0.601372,0.537601,0.511888,0.518651,0.534986,0.543471,0.51108,0.438107,0.454142,0.347213,0.362496
0.233767,0.234411,0.241044,0.377525,0.40741,0.433462,0.563057,0.583484,0.516738,0.499482,0.510015,0.53526,0.539891,0.499809,0.412656,0.42944,0.314681,0.329112
0.232586,0.26519,0.247215,0.323286,0.437933,0.456245,0.522805,0.657258,0.661668,0.634755,0.594315,0.60384,0.58812,0.529947,0.49382,0.535512,0.402233,0.37569
0.224432,0.255028,0.270275,0.404549,0.449171,0.476529,0.544391,0.584406,0.536213,0.506285,0.500124,0.551574,0.553801,0.514174,0.457491,0.475563,0.376663,0.386375
0.21566,0.26583,0.258322,0.391363,0.454792,0.47326,0.576019,0.590096,0.542911,0.499507,0.500518,0.544341,0.549442,0.524481,0.457964,0.469745,0.387702,0.425803
0.222114,0.22773,0.252876,0.41435,0.461314,0.46615,0.560665,0.580042,0.52967,0.495163,0.491246,0.551544,0.542375,0.513987,0.454913,0.472236,0.382247,0.400839
0.223671,0.254652,0.264789,0.410745,0.449118,0.454142,0.557467,0.586234,0.525276,0.496314,0.485068,0.542904,0.541576,0.508908,0.443598,0.454661,0.391967,0.406536
0.220469,0.244215,0.252541,0.386349,0.450732,0.461549,0.543081,0.582518,0.514933,0.494636,0.486525,0.546168,0.54179,0.502008,0.445692,0.449057,0.384825,0.385052
0.215264,0.272377,0.258522,0.432486,0.453937,0.443094,0.535233,0.577895,0.516694,0.50829,0.486107,0.544653,0.546079,0.500928,0.453916,0.447777,0.395851,0.397481
0.223929,0.248923,0.251418,0.385716,0.449121,0.444078,0.536909,0.585261,0.515675,0.516922,0.495162,0.543116,0.541613,0.498363,0.450614,0.451381,0.385236,0.378728
0.205679,0.241861,0.257574,0.386665,0.449779,0.446722,0.51755,0.596269,0.52865,0.524757,0.496202,0.537501,0.52694,0.491503,0.455656,0.423359,0.36891,0.371334
0.214734,0.23876,0.260759,0.368682,0.455717,0.452386,0.470424,0.562894,0.508055,0.502344,0.481653,0.533897,0.494434,0.475008,0.419774,0.380029,0.346288,0.326961
0.204324,0.257251,0.247824,0.347422,0.353624,0.393891,0.49,0.624174,0.588484,0.638028,0.559548,0.579512,0.571507,0.459891,0.500902,0.472834,0.392225,0.386091
0.188125,0.199983,0.189442,0.418517,0.382776,0.371687,0.493768,0.545489,0.530735,0.548567,0.478427,0.526212,0.559706,0.50428,0.486337,0.423104,0.357176,0.329697
0.204788,0.221446,0.198434,0.412139,0.382854,0.385815,0.518682,0.543093,0.555941,0.561511,0.488202,0.538622,0.572087,0.496862,0.495689,0.431377,0.366782,0.346626
0.21234,0.256773,0.238887,0.420742,0.414889,0.419266,0.515979,0.542621,0.534786,0.533102,0.465597,0.50899,0.535994,0.501727,0.506217,0.444956,0.390373,0.381367
0.231871,0.239721,0.244914,0.45554,0.427463,0.421331,0.521684,0.533942,0.541399,0.532239,0.463076,0.505461,0.530678,0.493813,0.509282,0.454549,0.365744,0.343881
0.241793,0.246452,0.255552,0.475065,0.44623,0.455923,0.533394,0.578392,0.541573,0.540456,0.462824,0.511971,0.539512,0.504456,0.536569,0.477979,0.38613,0.369632
0.213522,0.230734,0.26701,0.457061,0.402897,0.436054,0.528935,0.531604,0.536086,0.533232,0.466847,0.499668,0.537556,0.527675,0.509029,0.456234,0.361227,0.335481
0.234248,0.224073,0.246129,0.326888,0.307091,0.343508,0.4556,0.584752,0.611113,0.578364,0.524278,0.551939,0.570125,0.534047,0.545746,0.494258,0.345716,0.310748
