ch0412,ch0415,ch0427,ch0506,ch0516,ch0520,ch0523,ch0527,ch0531,ch0602,ch0614,ch0617,ch0620,ch0623,ch0627,ch0630,ch0708,ch0713,ch0716,ch0719,ch0721,ch0725,ch0728,ch0802,ch0808,ch0812
0.117556,0.040763,0.029998,0.112485,0.231,0.334091,0.42123,0.481593,0.600513,0.683975,0.928272,0.965209,1.054211,1.064219,1.096147,1.109745,1.120118,1.090625,1.124272,1.047165,1.087766,1.087802,1.067452,1.144571,0.963581,0.040902
0.118253,0.031832,0.041368,0.234447,0.405406,0.503273,0.613796,0.680308,0.790371,0.870143,1.098934,1.137442,1.204693,1.20498,1.233574,1.233821,1.245794,1.28473,1.23251,1.155877,1.208155,1.205343,1.138991,1.262682,0.766864,0.071599
0.119494,0.040166,0.033944,0.209571,0.392771,0.502291,0.612927,0.702499,0.811496,0.862581,1.151518,1.191215,1.289439,1.319198,1.361148,1.345325,1.333706,1.350187,1.352628,1.253902,1.332819,1.320125,1.283309,1.379527,0.509776,0.019033
0.117628,0.036958,0.029158,0.214424,0.399932,0.501714,0.617603,0.708619,0.822769,0.88456,1.168125,1.251564,1.318093,1.334119,1.386485,1.37249,1.408846,1.337289,1.373914,1.262875,1.353894,1.342054,1.263788,1.268827,0.315076,0.033838
0.11571,0.038004,0.027003,0.171273,0.331701,0.432336,0.524227,0.617355,0.745845,0.807628,1.086428,1.112217,1.180507,1.176793,1.206427,1.205213,1.174947,1.269726,1.203214,1.10632,1.167667,1.150252,1.11557,1.122424,0.158337,0.0148
0.116218,0.02321,0.024543,0.182133,0.349097,0.462382,0.54663,0.617553,0.724035,0.781399,1.038354,1.08036,1.138179,1.148419,1.175896,1.168853,1.164205,1.190395,1.167038,1.078271,1.133919,1.129484,1.09272,1.0693,0.111029,0.034779
0.114862,0.012258,0.024191,0.156257,0.304823,0.403882,0.480737,0.552438,0.657742,0.716371,1.032728,1.094486,1.165837,1.148127,1.196762,1.190924,1.167869,1.225517,1.157088,1.073111,1.146906,1.153613,1.007154,1.123981,0.635201,0.099898
0.108662,0.012,0.01401,0.103559,0.232154,0.320832,0.399174,0.464331,0.579593,0.653581,0.963549,1.013067,1.091878,1.090482,1.128946,1.129806,1.106223,1.135665,1.108454,1.028442,1.08975,1.091024,1.037553,1.140844,0.562008,0.131937
0.122359,0.014919,0.026201,0.187948,0.354525,0.459304,0.558981,0.647303,0.748093,0.820241,1.073369,1.128811,1.181822,1.179721,1.215487,1.20404,1.190817,1.180052,1.162112,1.093884,1.155544,1.156227,0.984796,1.298389,0.277514,0.13811
0.106547,0.015384,0.024244,0.182261,0.328678,0.43781,0.537724,0.620294,0.699158,0.775253,1.015546,1.096261,1.13903,1.142252,1.166366,1.161162,1.120948,1.189202,1.155624,1.040807,1.112046,1.118904,0.997593,1.378468,0.730686,0.040147
0.105995,0.01538,0.019979,0.205807,0.341685,0.447313,0.552166,0.619088,0.698808,0.760341,0.996107,1.061519,1.124196,1.136072,1.178921,1.190345,1.142608,1.204673,1.174253,1.083738,1.135793,1.123694,1.106521,1.189344,0.941767,0.059447
0.096881,0.006313,0.010732,0.143434,0.27894,0.37062,0.457878,0.556701,0.642483,0.709263,0.978995,1.02428,1.088519,1.0849,1.136352,1.130149,1.123552,1.158161,1.14338,1.060228,1.113007,1.100866,1.062546,1.142409,0.880225,0.05724
0.103465,0.004441,0.012659,0.180727,0.344067,0.438133,0.546497,0.64231,0.716673,0.770269,1.057124,1.133466,1.181073,1.187164,1.218939,1.194935,1.203621,1.196187,1.20068,1.108482,1.173409,1.188989,1.020978,1.204295,0.61171,0.063645
0.102481,0.004858,0.010223,0.131101,0.246312,0.331531,0.445189,0.525965,0.590391,0.636752,0.902488,0.998862,1.059359,1.073777,1.122434,1.094206,1.142537,1.14907,1.117196,1.016698,1.065346,1.076197,0.97235,1.105842,0.511034,0.040077
0.099096,0.0,0.006033,0.132483,0.280045,0.365119,0.467325,0.561576,0.637814,0.689119,0.96222,1.022444,1.089551,1.096794,1.147301,1.132036,1.123098,1.210843,1.13622,1.017725,1.091825,1.090499,1.059052,1.15129,0.806804,0.114616
0.097806,0.000233,0.001969,0.071848,0.16519,0.256837,0.34637,0.423286,0.507307,0.557991,0.779905,0.844632,0.907937,0.911303,0.948434,0.951968,0.937197,0.968203,0.983436,0.880355,0.952754,0.938632,0.926063,0.951994,0.833265,0.16707
0.101564,0.005601,0.008473,0.166864,0.337896,0.44345,0.563946,0.684377,0.757906,0.839063,1.095021,1.170658,1.221829,1.235426,1.266067,1.259143,1.237748,1.221179,1.217956,1.129799,1.215718,1.210212,1.188791,1.27949,1.083978,0.136265
0.091783,0.002546,0.005593,0.181262,0.355227,0.455367,0.576896,0.673874,0.746645,0.820107,1.047955,1.104474,1.170291,1.192883,1.237183,1.222756,1.165107,1.209147,1.20518,1.12099,1.180157,1.172598,1.131877,1.223832,1.01361,0.080623
0.081914,0.0,0.003165,0.03136,0.131425,0.232286,0.350722,0.358142,0.440713,0.527169,0.851329,0.868784,0.952571,0.953776,1.004252,1.029529,1.030897,1.125553,1.07406,0.989063,1.047407,1.03436,0.979748,1.013853,0.898706,0.117722
0.091985,0.0,0.008442,0.164505,0.354026,0.458437,0.572404,0.688753,0.771124,0.821507,1.118867,1.173456,1.225939,1.240045,1.267925,1.252861,1.215162,1.296184,1.252287,1.151665,1.210187,1.224787,1.168321,1.280621,0.742695,0.014419
0.092682,0.00152,0.006774,0.150666,0.311336,0.41196,0.521877,0.650096,0.711494,0.769437,1.04604,1.140188,1.194218,1.20202,1.26144,1.251129,1.236641,1.302203,1.234528,1.123216,1.198992,1.188111,1.132755,1.284466,0.657377,0.025715
0.090322,0.000599,0.012645,0.111506,0.259475,0.347041,0.450873,0.538482,0.620257,0.670246,0.946528,1.053379,1.123738,1.170538,1.209348,1.211734,1.20756,1.205092,1.19674,1.107002,1.180405,1.178976,1.109399,1.2214,0.496854,0.059336
0.086554,0.0,0.010719,0.045038,0.146033,0.217656,0.280835,0.342598,0.418087,0.489517,0.740046,0.797092,0.873243,0.87354,0.952255,0.999385,0.942817,0.940826,0.955009,0.867361,0.911614,0.907113,0.881324,0.96913,0.643182,0.098997
0.083216,0.0,0.011634,0.034641,0.103553,0.185835,0.266214,0.324785,0.404396,0.468048,0.672001,0.756662,0.828359,0.856813,0.926309,0.945445,0.925867,0.925672,0.951234,0.878235,0.927722,0.934947,0.879886,0.954462,0.455762,0.070938
0.09035,0.001964,0.01254,0.152333,0.314554,0.414678,0.510926,0.601555,0.674734,0.74274,1.025995,1.087159,1.158195,1.165221,1.199483,1.186324,1.156275,1.15366,1.104522,1.027762,1.078605,1.07277,0.838793,0.974578,0.248042,0.096576
0.080202,0.0,0.00701,0.137282,0.289577,0.384012,0.50286,0.577481,0.643007,0.683988,0.967299,1.062903,1.113598,1.116254,1.160475,1.134934,1.135406,1.196119,1.120091,1.043569,1.100694,1.111286,0.992471,1.05722,0.520217,0.069549
0.07362,0.0,0.002422,0.103524,0.267074,0.360888,0.468243,0.519085,0.589429,0.642727,0.902623,0.972239,1.032185,1.037373,1.078257,1.079574,1.060474,1.107283,1.07581,0.973969,1.043885,1.043596,1.0231,1.078279,0.907263,0.079152
0.070438,0.0,0.002074,0.134567,0.283303,0.376588,0.487051,0.579004,0.660776,0.695209,0.97937,1.040054,1.112083,1.114016,1.156962,1.154693,1.121916,1.15688,1.136778,1.058465,1.10611,1.102777,1.075599,1.156069,0.995234,0.069312
