cv0412,cv0415,cv0427,cv0506,cv0516,cv0520,cv0523,cv0527,cv0531,cv0602,cv0614,cv0617,cv0620,cv0623,cv0627,cv0630,cv0708,cv0713,cv0716,cv0719,cv0721,cv0725,cv0728,cv0802,cv0808,cv0812
0.086836,0.014115,0.004642,0.03262,0.055434,0.100506,0.157044,0.189964,0.319011,0.388179,0.546757,0.690778,0.754751,0.770087,0.798837,0.822407,0.79223,0.758052,0.806802,0.782648,0.781676,0.762441,0.767846,0.77953,0.658992,0.000273
0.086946,0.010473,0.006996,0.055516,0.12606,0.193727,0.2727,0.340373,0.508602,0.573767,0.754049,0.842671,0.896549,0.90379,0.939294,0.93504,0.909971,0.896925,0.922453,0.88421,0.887533,0.813034,0.848558,0.863926,0.453111,0.000853
0.087261,0.011234,0.005955,0.051968,0.144639,0.231443,0.323621,0.410028,0.560341,0.637622,0.818794,0.900211,0.965068,0.982339,1.025155,1.023988,1.015019,0.981612,1.021511,0.983865,0.985489,0.966489,0.949923,0.983534,0.304219,0.000366
0.081865,0.006821,0.003137,0.045466,0.132891,0.222762,0.306709,0.399493,0.540684,0.612405,0.829643,0.892636,0.969868,0.952701,1.000509,1.015763,0.949395,0.905431,0.975297,0.926428,0.915902,0.87895,0.903308,0.857114,0.137717,0.000219
0.086505,0.009493,0.003676,0.039014,0.10648,0.190679,0.251911,0.327043,0.464814,0.571518,0.764974,0.830674,0.87752,0.871946,0.901954,0.920921,0.884144,0.865532,0.901422,0.861949,0.853623,0.822849,0.85888,0.8016,0.032411,0.000296
0.084617,0.00467,0.002007,0.037575,0.111573,0.192876,0.248296,0.311071,0.424678,0.540764,0.754613,0.797561,0.852021,0.841784,0.874485,0.9,0.848406,0.83198,0.867568,0.821846,0.809274,0.765732,0.785092,0.708528,0.009979,0.000252
0.082072,0.001087,0.001437,0.024904,0.075378,0.14023,0.177321,0.220018,0.327867,0.423605,0.632757,0.700718,0.797856,0.783547,0.822231,0.851876,0.766721,0.755508,0.797184,0.77884,0.776835,0.719038,0.705487,0.694761,0.110711,0.001022
0.079359,0.000967,0.000666,0.018097,0.048166,0.096844,0.142423,0.174872,0.28496,0.364635,0.585881,0.668803,0.753842,0.748848,0.781079,0.812146,0.745689,0.726478,0.781473,0.751253,0.751294,0.684133,0.725239,0.679342,0.204141,0.000738
0.084302,0.000627,0.001723,0.033857,0.106794,0.180265,0.237861,0.285082,0.440622,0.516748,0.693906,0.807003,0.862273,0.853435,0.894112,0.90174,0.840842,0.776233,0.864567,0.805781,0.820992,0.677661,0.684353,0.499489,0.02642,0.001648
0.077774,0.000664,0.00177,0.030689,0.092207,0.170603,0.227324,0.282443,0.435726,0.54519,0.712378,0.781946,0.8261,0.817817,0.847954,0.860487,0.821113,0.809908,0.844019,0.78404,0.792944,0.664173,0.740098,0.686222,0.224147,0.000283
0.075264,0.000862,0.001341,0.041688,0.099305,0.177269,0.240121,0.298336,0.433339,0.534265,0.725936,0.807788,0.858735,0.872843,0.910218,0.919402,0.887641,0.850771,0.904008,0.861375,0.867444,0.85555,0.82911,0.851035,0.652767,0.000499
0.068069,8.6e-05,0.000308,0.025483,0.067916,0.128308,0.181949,0.25176,0.367992,0.459124,0.675665,0.761899,0.812273,0.817015,0.852866,0.868538,0.821973,0.801583,0.845033,0.800121,0.799586,0.787206,0.763469,0.782063,0.543275,0.000848
0.070859,2.3e-05,0.000405,0.026885,0.094887,0.168105,0.236624,0.295505,0.407673,0.494694,0.71985,0.802333,0.849779,0.839118,0.878542,0.886889,0.816356,0.794683,0.859744,0.826211,0.828675,0.7659,0.727612,0.756777,0.34596,0.000237
0.070274,4.2e-05,0.000211,0.021869,0.067037,0.123405,0.173863,0.220508,0.30802,0.39062,0.552503,0.658484,0.743114,0.734611,0.772573,0.792639,0.7259,0.749276,0.764773,0.719716,0.71466,0.670653,0.645087,0.633025,0.212123,9e-05
0.069275,0.0,5.8e-05,0.013876,0.060024,0.109928,0.163776,0.217737,0.305455,0.392052,0.539154,0.645522,0.734374,0.723153,0.758797,0.804239,0.740852,0.704183,0.742868,0.692463,0.682016,0.633021,0.660654,0.61363,0.291101,0.000815
0.06602,0.0,8e-06,0.006575,0.027588,0.0613,0.103157,0.139224,0.211065,0.293545,0.382376,0.451925,0.553462,0.536965,0.560975,0.652807,0.599306,0.572414,0.581403,0.53092,0.527744,0.474973,0.51505,0.476111,0.334389,0.001404
0.066834,5.5e-05,0.000119,0.027292,0.112092,0.197665,0.275739,0.336296,0.469029,0.54244,0.689304,0.814612,0.868185,0.887272,0.929653,0.912948,0.881104,0.845981,0.893835,0.843738,0.841493,0.824415,0.810554,0.799403,0.505878,0.002703
0.061012,1.3e-05,0.000101,0.029453,0.109778,0.189081,0.272185,0.325402,0.435282,0.546394,0.744355,0.82086,0.871815,0.868829,0.905441,0.918091,0.838037,0.81724,0.868184,0.839425,0.824556,0.822712,0.799015,0.803391,0.609712,0.001198
0.05548,0.0,1.3e-05,0.002808,0.023476,0.081723,0.159306,0.131204,0.20237,0.283757,0.503518,0.594349,0.65417,0.670807,0.708693,0.744136,0.707428,0.70812,0.715249,0.689186,0.68134,0.656602,0.640235,0.66155,0.525777,0.000409
0.061196,0.0,0.00014,0.026464,0.12401,0.209944,0.280189,0.355711,0.498932,0.575817,0.791326,0.890922,0.926783,0.939318,0.981358,0.967374,0.923805,0.923543,0.948568,0.912919,0.915394,0.875321,0.869548,0.859256,0.366711,0.000357
0.063597,1.9e-05,0.000127,0.022374,0.088002,0.151374,0.219285,0.295777,0.407722,0.535379,0.731025,0.817013,0.872036,0.874613,0.926925,0.949471,0.901996,0.888213,0.921725,0.882608,0.873365,0.861061,0.832555,0.868557,0.381627,0.000462
0.062685,3e-06,0.000561,0.012719,0.056464,0.111592,0.165116,0.220972,0.304681,0.406861,0.594564,0.679038,0.773007,0.771734,0.832539,0.885866,0.784994,0.755621,0.8099,0.774519,0.736901,0.704133,0.727026,0.65644,0.134474,0.000885
0.060229,0.0,0.000309,0.003746,0.015085,0.044551,0.084862,0.098207,0.150651,0.223777,0.240431,0.297442,0.418415,0.394962,0.466811,0.62895,0.490174,0.464679,0.500122,0.47106,0.440803,0.384863,0.436525,0.354421,0.144093,0.001155
