row,col,rep,line,grid,entry,name,breeder,irrigation,Tier,Row,Name/Code,Breeder,Weight per row (lbs),cc_0412,cc_0415,cc_0427,cc_0506,cc_0516,cc_0520,cc_0523,cc_0527,cc_0531,cc_0602,cc_0607,cc_0614,cc_0617,cc_0620,cc_0623,cc_0627,cc_0630,cc_0708,cc_0713,cc_0716,cc_0719,cc_0721,cc_0725,cc_0728,cc_0802,cc_0808,cc_0812
1,3,436.000000,1,1,C,PHY_499,Visual_Check,No,7,5,PHY499,Visual Check,3.780000,0.081568,0.021485,0.506667,0.673716,14.172633,16.969178,34.136392,46.896722,61.735096,51.582851,76.510525,75.444875,83.276751,83.404228,81.462459,95.344382,90.355690,88.205059,95.142249,97.508155,95.755090,93.039407,87.399581,90.716689,71.085950,43.122621,2.161944
1,3,436.000000,2,1,C,PHY_499,Visual_Check,No,7,6,PHY499,Visual Check,6.520000,0.186077,0.012533,3.188473,1.353307,32.203893,39.788772,52.741367,64.031636,77.997307,62.571832,91.186141,84.924012,93.648501,94.075082,90.155922,100.014484,95.097403,93.136481,97.695084,99.125388,97.005323,93.538342,80.589630,84.889585,57.892665,29.066069,0.582856
1,4,437.000000,1,1,3,13Q-18,Smith,No,7,7,13Q-18,Smith,5.860000,0.661464,0.134284,5.517654,2.679195,37.030305,47.496274,59.823817,69.709963,80.347351,65.176293,93.418227,88.526773,94.277008,94.642403,89.576022,100.039528,98.435653,95.653768,99.558789,99.967329,99.168135,96.778720,88.793139,92.063589,69.637483,38.082146,0.873887
1,4,437.000000,2,1,3,13Q-18,Smith,No,7,8,13Q-18,Smith,5.680000,0.336467,0.044761,1.549694,2.653735,34.965418,45.643148,57.256623,71.006852,81.622227,65.827899,95.703645,91.424724,94.352466,93.261425,90.892528,99.642990,99.144647,95.809015,97.526391,99.262519,96.541733,90.696649,73.390052,80.839203,52.699078,27.300706,0.902222
1,5,438.000000,1,1,29,DPL_1044,Commercial,No,7,9,DPL 1044,Commercial,6.280000,0.067548,0.016114,0.807326,1.306303,33.111192,41.835922,51.598181,64.158216,75.900381,61.914338,93.270781,87.902436,88.420756,88.658787,82.695164,98.745563,98.289832,92.466525,97.646630,99.228045,94.780455,91.092250,70.627109,76.937257,42.302940,15.922434,0.485934
1,5,438.000000,2,1,29,DPL_1044,Commercial,No,7,10,DPL 1044,Commercial,7.200000,0.165685,0.048342,1.952429,3.828821,33.751515,41.584483,51.604814,61.528908,73.332052,61.727884,92.812756,89.162607,91.235695,91.392750,83.507191,97.206022,97.883655,95.018195,96.914428,99.186676,95.065180,91.906586,76.288085,79.830480,44.330637,16.888358,0.614899
1,6,439.000000,1,1,C,PHY_499,Visual_Check,No,7,11,PHY499,Visual Check,5.700000,0.091764,0.069827,1.260171,1.335681,21.399737,23.601629,36.086664,48.513391,65.508635,56.114653,80.607651,82.306394,86.110095,87.024007,82.642370,94.289730,94.302368,91.487117,95.249028,96.837820,93.519271,89.900050,77.688753,78.925662,52.927107,27.012106,0.970280
1,6,439.000000,2,1,C,PHY_499,Visual_Check,No,7,12,PHY499,Visual Check,4.220000,0.075195,0.000000,0.452845,0.822560,13.146447,13.508424,30.244693,42.948319,57.167373,52.797743,75.155274,81.971233,86.964975,87.349346,82.646560,92.569313,93.766572,89.356384,93.536071,95.386831,93.539348,88.864394,80.301675,82.429410,62.236116,36.809561,1.383655
1,7,440.000000,1,1,4,13Q-51,Smith,No,7,13,13Q-51,Smith,7.320000,0.873031,0.599800,2.564883,3.515464,30.954532,36.448788,47.522953,57.753720,72.173286,61.841719,90.400283,82.867059,91.128030,91.681387,89.125176,97.774393,94.416902,95.999687,96.474748,96.943541,83.022787,80.325435,59.103944,63.374027,37.121047,20.359795,0.228270
1,7,440.000000,2,1,4,13Q-51,Smith,No,7,14,13Q-51,Smith,5.480000,0.568426,0.211273,1.688888,2.258123,28.989761,38.339531,48.316771,61.879779,75.842326,61.107681,92.288851,82.499178,88.507256,87.241729,84.837942,96.906184,95.541572,94.251339,97.154009,97.342678,82.451513,83.906662,64.354674,67.661262,45.215465,18.998863,0.575706
